year,month,decision_count,amount_total,supplier_count,amount_known_count,amount_missing_count,supplier_known_count,supplier_missing_count,detail_enriched_decision_count,search_only_decision_count
2020,1,1145,16423762.54,0,4,1141,0,1145,0,1145
2020,2,1696,2836013.42,0,6,1690,0,1696,0,1696
2020,3,1366,4727402.7299999995,0,11,1355,0,1366,0,1366
2020,4,1146,1579202.0,0,3,1143,0,1146,0,1146
2020,5,1658,6091797.64,0,10,1648,0,1658,0,1658
2020,6,1634,3270809.25,0,8,1626,0,1634,0,1634
2020,7,1819,8374420.57,0,13,1806,0,1819,0,1819
2020,8,1367,3356965.13,0,7,1360,0,1367,0,1367
2020,9,1909,8670897.63,0,19,1890,0,1909,0,1909
2020,10,1685,4451458.19,0,10,1675,0,1685,0,1685
2020,11,1806,6162203.36,0,17,1789,0,1806,0,1806
2020,12,624,2788212.41,0,5,619,0,624,0,624
2021,1,1168,25102.8,0,4,1164,0,1168,0,1168
2021,2,1259,2512926.7800000003,0,5,1254,0,1259,0,1259
2021,3,1229,8508604.0,0,10,1219,0,1229,0,1229
2021,4,1373,12410216.8,0,10,1363,0,1373,0,1373
2021,5,1087,13984465.31,0,13,1074,0,1087,0,1087
2021,6,1284,10909996.64,0,12,1272,0,1284,0,1284
2021,7,1468,16096149.33,0,17,1451,0,1468,0,1468
2021,8,1149,5799563.64,0,8,1141,0,1149,0,1149
2021,9,1436,4565573.48,0,8,1428,0,1436,0,1436
2021,10,1389,5052702.0,0,8,1381,0,1389,0,1389
2021,11,1674,3762358.36,0,18,1656,0,1674,0,1674
2021,12,1071,8735211.32,0,10,1061,0,1071,0,1071
2022,1,1329,1769472.41,0,8,1321,0,1329,0,1329
2022,2,1325,1218350.08,0,6,1319,0,1325,0,1325
2022,3,1379,110000.0,0,2,1377,0,1379,0,1379
2022,4,1409,1124274.98,0,5,1404,0,1409,0,1409
2022,5,1446,2144919.48,0,12,1434,0,1446,0,1446
2022,6,1118,75202.0,0,2,1116,0,1118,0,1118
2022,7,1106,8169145.640000001,0,5,1101,0,1106,0,1106
2022,8,726,2585799.43,0,6,720,0,726,0,726
2022,9,1019,68374.2,0,3,1016,0,1019,0,1019
2022,10,991,775006.2,0,5,986,0,991,0,991
2022,11,868,3482865.05,0,4,864,0,868,0,868
2022,12,1021,3425602.0,0,6,1015,0,1021,0,1021
2023,1,769,922276.5,0,5,764,0,769,0,769
2023,2,781,227734.47,0,4,777,0,781,0,781
2023,3,894,208279.6,0,3,891,0,894,0,894
2023,4,837,679171.6300000001,0,6,831,0,837,0,837
2023,5,1072,6302179.51,0,10,1062,0,1072,0,1072
2023,6,713,1777930.76,0,6,707,0,713,0,713
2023,7,799,4467391.25,0,11,788,0,799,0,799
2023,8,646,259692.0,0,4,642,0,646,0,646
2023,9,560,1564942.7899999998,0,4,556,0,560,0,560
2023,10,684,537085.3899999999,0,9,675,0,684,0,684
2023,11,828,281352.84,0,5,823,0,828,0,828
2023,12,944,14192616.399999999,0,13,931,0,944,0,944
2024,1,1141,613879.0599999999,0,4,1137,0,1141,0,1141
2024,2,728,306202.0,0,3,725,0,728,0,728
2024,3,715,1151002.0,0,3,712,0,715,0,715
2024,4,761,860762.84,0,8,753,0,761,0,761
2024,5,566,104202.0,0,2,564,0,566,0,566
2024,6,729,99593.08,0,3,726,0,729,0,729
2024,7,772,699031.03,0,6,766,0,772,0,772
2024,8,607,620191.25,0,7,600,0,607,0,607
2024,9,709,13868.56,0,4,705,0,709,0,709
2024,10,826,637203.63,0,7,819,0,826,0,826
2024,11,836,611669.59,0,8,828,0,836,0,836
2024,12,1019,905010.0,0,6,1013,0,1019,0,1019
2025,1,851,335442.0,0,2,849,0,851,0,851
2025,2,724,1202.0,0,1,723,0,724,0,724
2025,3,774,320138.44999999995,0,5,769,0,774,0,774
2025,4,731,354609.48,0,6,725,0,731,0,731
2025,5,719,513470.38,0,5,714,0,719,0,719
2025,6,618,556938.6599999999,0,6,612,0,618,0,618
2025,7,808,4596009.5600000005,0,4,804,0,808,0,808
2025,8,657,200000.0,0,1,656,0,657,0,657
2025,9,770,1827496.8,0,6,764,0,770,0,770
2025,10,840,202074.49,0,5,835,0,840,0,840
2025,11,919,11520.76,0,3,916,0,919,0,919
2025,12,1039,998350.8,0,6,1033,0,1039,0,1039
2026,1,853,1695178.1099999999,0,3,850,0,853,0,853
2026,2,584,26202.0,0,1,583,0,584,0,584
2026,3,776,837853.3,0,6,770,0,776,0,776
2026,4,744,61193.07,0,3,741,0,744,0,744
2026,5,317,4202.0,0,1,316,0,317,0,317
