ada,contract_id,decision_type,amount,issue_date
62ΧΥΩΛ2-8ΥΖ,contract:170a40ec3df7,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,496.0,1578009600000
9Υ1ΧΩΛ2-0ΞΕ,contract:41f1935c586c,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,644.8,1578009600000
ΨΩΑΜΩΛ2-ΣΕΔ,contract:41f1935c586c,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,651.0,1589155200000
6ΗΠΙΩΛ2-Τ4Υ,contract:41f1935c586c,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,644.8,1595548800000
Ψ5Σ8ΩΛ2-0Υ7,contract:e15a16987829,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,359.6,1578009600000
ΨΚ99ΩΛ2-217,contract:e15a16987829,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,359.6,1586736000000
Ψ8ΒΕΩΛ2-Υ2Σ,contract:1759b0998a2f,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,675.8,1578009600000
ΩΑ8ΦΩΛ2-ΜΨΛ,contract:34a2058a3f41,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,334.8,1578009600000
6Κ1ΔΩΛ2-ΕΜΤ,contract:ee82d03616cd,ΚΑΤΑΚΥΡΩΣΗ,75723.8736,1580342400000
ΨΦΨ9ΩΛ2-8ΨΓ,contract:b1cc455ff07e,ΚΑΤΑΚΥΡΩΣΗ,97988.47,1580342400000
6ΩΨ7ΩΛ2-6ΑΓ,contract:b1cc455ff07e,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,97988.47,1583798400000
ΩΣΜΑΩΛ2-Ρ7Η,contract:52ad58c354db,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,595000.0,2020-01-30
Ω3ΥΕΩΛ2-ΙΟΗ,contract:52ad58c354db,ΚΑΝΟΝΙΣΤΙΚΗ ΠΡΑΞΗ,595000.0,2020-06-30
ΩΨΨ0ΩΛ2-7ΘΠ,contract:856876d3dabc,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,11648.56,1580428800000
ΨΠΖ6ΩΛ2-ΜΨ5,contract:6a2834c567bd,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,5580.0,1580947200000
6Ψ8ΔΩΛ2-7Γ5,contract:6a2834c567bd,ΣΥΜΒΑΣΗ,5580.0,1581033600000
Ω9Ε3ΩΛ2-Ν5Κ,contract:6a2834c567bd,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,5499.92,1590105600000
ΩΖΑΛΩΛ2-Γ1Ζ,contract:6a2834c567bd,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,5499.92,1590105600000
ΨΣ0ΖΩΛ2-Δ8Ρ,contract:6a2834c567bd,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,5483.53,1602547200000
ΨΛΤ9ΩΛ2-ΗΨΦ,contract:54847a9532b0,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,477.4,1581033600000
