ada,contract_id,decision_type,amount,issue_date
6ΑΣ44690ΒΣ-61Ζ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,409.2,1585699200000
6Κ4Φ4690ΒΣ-8ΓΨ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,3000.0,1585699200000
6ΥΛ94690ΒΣ-ΞΚΧ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,6448.0,1585699200000
6ΦΡ24690ΒΣ-769,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,16000.0,1585699200000
Ψ3ΑΙ4690ΒΣ-ΕΧ6,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,585.28,1585699200000
ΩΖΥΓ4690ΒΣ-ΠΚΦ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,263.0,1585699200000
6ΛΦ64690ΒΣ-ΠΦΚ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,211.79,1585785600000
96ΛΙ4690ΒΣ-ΛΦΓ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,2108.0,1585785600000
Ψ0Ι14690ΒΣ-ΤΩΞ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,4729.86,1585785600000
Ψ3ΟΜ4690ΒΣ-02Ε,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,14791.05,1585785600000
ΨΥ8Λ4690ΒΣ-ΦΜΟ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,1736.0,1585785600000
Ω55Ψ4690ΒΣ-Μ0Β,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,2284.3,1585785600000
Ω91Γ4690ΒΣ-ΓΚΕ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,16259.4,1585785600000
ΩΒ2Ν4690ΒΣ-ΞΦΖ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,146.15,1585785600000
ΩΙΦΨ4690ΒΣ-0ΕΛ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,682.0,1585785600000
61ΔΓ4690ΒΣ-ΧΛΩ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,8169.96,1585872000000
6ΓΤΦ4690ΒΣ-ΝΛ8,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,1887.28,1585872000000
6ΦΕΠ4690ΒΣ-Ε2Ψ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,1563.92,1585872000000
94804690ΒΣ-ΑΚ0,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,1310.8,1585872000000
9Α764690ΒΣ-Ο2Δ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,135.6,1585872000000
9ΙΡΩ4690ΒΣ-568,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,3055.52,1585872000000
9Ξ3Ξ4690ΒΣ-ΥΦ2,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,2467.6,1585872000000
ΨΟ984690ΒΣ-Δ9Ρ,contract:a0c82ee1098c,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,4228.38,1585872000000
