year,month,decision_count,amount_total,supplier_count,amount_known_count,amount_missing_count,supplier_known_count,supplier_missing_count,detail_enriched_decision_count,search_only_decision_count
2020,4,431,4480064.5,0,197,234,0,431,185,246
2020,5,391,3894492.4699999997,0,177,214,0,391,197,194
2020,6,396,6891699.250000001,0,141,255,0,396,176,220
2020,7,459,3358049.02,0,157,302,0,459,231,228
2020,8,490,2963447.66,0,121,369,0,490,171,319
2020,9,467,1216925.75,0,150,317,0,467,228,239
2020,10,485,958729.9500000001,0,124,361,0,485,188,297
2020,11,500,2963773.36,0,140,360,0,500,194,306
2020,12,500,939586.0800000001,0,126,374,0,500,263,237
2021,1,435,4228015.82,0,206,229,0,435,321,114
2021,2,500,10527882.96,0,246,254,0,500,255,245
2021,3,500,1322095.97,0,160,340,0,500,198,302
2021,4,500,4496671.79,0,195,305,0,500,231,269
2021,5,460,993354.2,0,163,297,0,460,181,279
2021,6,359,965901.9,0,153,206,0,359,204,155
2021,7,386,1603396.04,0,175,211,0,386,210,176
2021,8,440,1085110.35,0,147,293,0,440,186,254
2021,9,500,1332131.6600000001,0,139,361,0,500,162,338
2021,10,426,1353703.12,0,182,244,0,426,204,222
2021,11,500,2346339.1799999997,0,199,301,0,500,225,275
2021,12,500,1391483.5,0,151,349,0,500,250,250
2022,1,448,1841183.81,0,204,244,0,448,361,87
2022,2,500,5287050.430000001,0,218,282,0,500,286,214
2022,3,500,1700164.46,0,137,363,0,500,170,330
2022,4,398,1289773.27,0,166,232,0,398,207,191
2022,5,442,1168615.99,0,186,256,0,442,231,211
2022,6,467,1093384.05,0,167,300,0,467,221,246
2022,7,445,868331.71,0,157,288,0,445,212,233
2022,8,413,1776893.11,0,167,246,0,413,190,223
2022,9,498,5792107.5200000005,0,198,300,0,498,236,262
2022,10,500,1272426.36,0,172,328,0,500,218,282
2022,11,500,852788.51,0,132,368,0,500,176,324
2022,12,500,1078321.73,0,125,375,0,500,277,223
2023,1,500,10938742.170000002,0,290,210,0,500,303,197
2023,2,500,1140300.6600000001,0,151,349,0,500,166,334
2023,3,500,2161301.8299999996,0,194,306,0,500,232,268
2023,4,500,1431601.04,0,180,320,0,500,204,296
2023,5,500,1059671.5299999998,0,133,367,0,500,152,348
2023,6,500,2876389.3999999994,0,160,340,0,500,213,287
2023,7,500,1246939.1300000001,0,176,324,0,500,196,304
2023,8,500,1308301.27,0,149,351,0,500,173,327
2023,9,488,1140780.79,0,157,331,0,488,187,301
2023,10,500,1598633.8,0,181,319,0,500,225,275
2023,11,500,773195.3200000001,0,114,386,0,500,171,329
2023,12,500,4684590.51,0,188,312,0,500,332,168
2024,1,500,5545660.430000001,1,269,231,1,499,285,215
2024,2,500,1449462.13,0,140,360,0,500,144,356
2024,3,488,2916674.42,0,164,324,0,488,190,298
2024,4,500,1381211.85,0,148,352,0,500,168,332
2024,5,468,1335907.97,0,147,321,0,468,181,287
2024,6,500,1441061.63,0,170,330,0,500,190,310
2024,7,500,1473979.17,0,157,343,0,500,185,315
2024,8,500,1062946.0100000002,0,133,367,0,500,165,335
2024,9,500,1584565.1400000001,0,169,331,0,500,185,315
2024,10,500,846290.22,0,112,388,0,500,181,319
2024,11,472,1806110.62,0,228,244,0,472,286,186
2024,12,500,1379929.9500000002,0,171,329,0,500,267,233
2025,1,500,10294795.36,0,356,144,0,500,367,133
2025,2,500,1184846.3299999998,0,164,336,0,500,192,308
2025,3,467,2888196.7600000002,0,152,315,0,467,196,271
2025,4,500,1663381.25,0,144,356,0,500,180,320
2025,5,500,1487380.88,0,179,321,0,500,225,275
2025,6,500,1700400.37,0,150,350,0,500,187,313
2025,7,500,1926275.98,0,217,283,0,500,228,272
2025,8,500,715695.64,0,127,373,0,500,187,313
2025,9,500,2953778.29,0,172,328,0,500,239,261
2025,10,500,722119.86,0,117,383,0,500,170,330
2025,11,500,827084.53,0,156,344,0,500,167,333
2025,12,500,5739819.12,0,370,130,0,500,370,130
2026,1,397,2551352.6100000003,0,277,120,0,397,274,123
2026,2,500,1171832.81,0,124,376,0,500,124,376
2026,3,500,1700187.0899999999,0,129,371,0,500,136,364
2026,4,500,1243407.1800000002,0,144,356,0,500,148,352
2026,5,365,1098234.23,2,103,262,2,363,103,262
