ada,contract_id,decision_type,amount,issue_date
ΩΦΝΔΟΡΓΦ-316,contract:e84597cb6c6c,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,4960.0,1578960000000
6ΖΩΙΟΡΓΦ-ΝΑΟ,contract:a42789c83dc4,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,467.48,1580947200000
Ψ4ΧΜΟΡΓΦ-ΑΦΣ,contract:50b570ac925f,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,644.8,1580947200000
ΨΣΘ0ΟΡΓΦ-6Α2,contract:037002dec338,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,235.6,1580947200000
6ΑΡΓΟΡΓΦ-Ν24,contract:9205d6758013,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,246.76,1581033600000
6ΝΦΛΟΡΓΦ-6ΒΞ,contract:ee4bda77ec27,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,74.4,1581033600000
Ω0ΩΝΟΡΓΦ-Ο34,contract:ee4bda77ec27,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,74.4,1581465600000
6ΣΓΞΟΡΓΦ-Ξ62,contract:b1b5e572ee14,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,12.0,1581033600000
6Ψ5ΩΟΡΓΦ-1ΑΥ,contract:0beabea7a746,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,64.48,1581033600000
6ΓΡΟΟΡΓΦ-Η78,contract:0beabea7a746,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,64.48,1581984000000
Ω1ΕΒΟΡΓΦ-ΞΤΘ,contract:932a4b69a257,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,272.8,1581033600000
ΩΒ3ΣΟΡΓΦ-ΒΚ6,contract:d4d932ae5e33,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,9.92,1581033600000
ΩΤ2ΚΟΡΓΦ-ΚΕΣ,contract:0bffb575aa00,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,483.6,1581033600000
ΩΦΨΝΟΡΓΦ-ΘΧ2,contract:18bc318c0735,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,99.2,1581033600000
ΩΨΖΒΟΡΓΦ-ΘΤΑ,contract:d02647fc7102,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,223.2,1581033600000
ΨΙ8ΜΟΡΓΦ-Α26,contract:dd04d52a90a6,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,328.03,1581292800000
Ω792ΟΡΓΦ-ΟΗΝ,contract:25b2350a4e3b,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,198.4,1581292800000
6ΣΔΠΟΡΓΦ-2ΡΘ,contract:b80f6e601b39,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,165.01,1581379200000
ΩΩΚ8ΟΡΓΦ-Σ9Κ,contract:b80f6e601b39,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,164.93,1589500800000
9ΟΨΤΟΡΓΦ-ΓΓΣ,contract:bd3e76508214,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,24.8,1581379200000
