year,month,decision_count,amount_total,supplier_count,amount_known_count,amount_missing_count,supplier_known_count,supplier_missing_count,detail_enriched_decision_count,search_only_decision_count
2020,1,358,4960.0,0,1,357,0,358,20,338
2020,2,379,88778.53,24,94,285,93,286,112,267
2020,3,218,10578.55,16,26,192,26,192,27,191
2020,4,278,3159210.9899999998,8,16,262,12,266,33,245
2020,5,278,4516.31,16,26,252,26,252,26,252
2020,6,366,13167.559999999998,12,29,337,28,338,48,318
2020,7,366,6738.2,18,37,329,37,329,51,315
2020,8,220,4690.33,9,13,207,13,207,20,200
2020,9,297,7224.33,13,32,265,32,265,32,265
2020,10,369,127292.76999999999,18,34,335,31,338,74,295
2020,11,275,9035.45,17,38,237,38,237,38,237
2020,12,414,206688.44,12,29,385,24,390,73,341
2021,1,350,0.0,0,0,350,0,350,1,349
2021,2,400,57861.270000000004,20,46,354,45,355,84,316
2021,3,318,5596.24,13,27,291,27,291,27,291
2021,4,408,1484622.2000000002,16,42,366,37,371,70,338
2021,5,301,7067.29,12,35,266,34,267,45,256
2021,6,327,4048.74,9,16,311,16,311,22,305
2021,7,335,1617067.42,17,30,305,27,308,45,290
2021,8,212,5182.83,7,25,187,25,187,25,187
2021,9,315,4448.530000000001,15,28,287,28,287,28,287
2021,10,343,4645.54,11,30,313,30,313,42,301
2021,11,330,81780.15,15,32,298,31,299,41,289
2021,12,325,116085.21,3,6,319,5,320,18,307
2022,1,377,6560.88,10,27,350,27,350,39,338
2022,2,348,180311.34999999998,17,47,301,45,303,63,285
2022,3,375,35942.41,16,40,335,40,335,68,307
2022,4,294,3554.12,8,11,283,11,283,19,275
2022,5,328,2799679.18,13,21,307,19,309,42,286
2022,6,351,13911.75,22,57,294,57,294,62,289
2022,7,261,9014.529999999999,12,18,243,18,243,18,243
2022,8,287,116687.51,8,21,266,20,267,38,249
2022,9,346,9757.380000000001,18,33,313,33,313,58,288
2022,10,271,10898.34,18,33,238,33,238,33,238
2022,11,345,11994.06,15,36,309,36,309,50,295
2022,12,307,10898.73,12,19,288,19,288,26,281
2023,1,348,1282.1599999999999,1,2,346,2,346,3,345
2023,2,338,7887.0,18,35,303,35,303,50,288
2023,3,337,140906.94,16,26,311,25,312,42,295
2023,4,240,5041.39,11,27,213,27,213,27,213
2023,5,349,2436382.89,12,27,322,23,326,42,307
2023,6,315,16690.739999999998,16,22,293,22,293,36,279
2023,7,265,2250620.95,3,6,259,5,260,16,249
2023,8,225,9757.3,12,21,204,20,205,21,204
2023,9,308,8855.32,14,27,281,26,282,55,253
2023,10,251,18879.440000000002,14,33,218,31,220,33,218
2023,11,306,136167.25,14,28,278,26,280,45,261
2023,12,348,10798.48,10,13,335,12,336,27,321
2024,1,312,0.0,0,0,312,0,312,1,311
2024,2,315,21397.100000000002,19,35,280,33,282,45,270
2024,3,323,340612.92000000004,12,25,298,20,303,47,276
2024,4,372,86824.83000000002,14,27,345,24,348,57,315
2024,5,250,4301.1,3,9,241,5,245,9,241
2024,6,311,27085.710000000003,18,42,269,39,272,59,252
2024,7,346,211880.7,15,32,314,28,318,50,296
2024,8,212,13234.02,3,12,200,4,208,14,198
2024,9,305,8572.83,12,31,274,29,276,32,273
2024,10,315,2301322.99,15,29,286,24,291,48,267
2024,11,328,22818.719999999998,19,47,281,41,287,47,281
2024,12,428,70582.33,15,36,392,28,400,55,373
2025,1,334,1310.58,0,1,333,0,334,4,330
2025,2,354,24259.98,3,16,338,6,348,36,318
2025,3,331,38828.66,12,47,284,34,297,62,269
2025,4,267,35143.21000000001,15,30,237,21,246,31,236
2025,5,339,2604853.43,12,37,302,25,314,53,286
2025,6,324,223432.08999999997,9,33,291,15,309,58,266
2025,7,303,12536.18,14,35,268,28,275,42,261
2025,8,249,2278822.89,12,31,218,24,225,45,204
2025,9,338,46752.6,13,33,305,25,313,53,285
2025,10,295,2412427.35,9,29,266,20,275,38,257
2025,11,275,169410.75000000003,11,33,242,22,253,33,242
2025,12,461,27955.960000000003,15,55,406,39,422,71,390
2026,1,384,118751.71,0,12,372,0,384,14,370
2026,2,282,333004.64999999997,8,23,259,14,268,23,259
2026,3,395,57244.53,22,58,337,45,350,77,318
2026,4,294,24713.030000000002,15,45,249,32,262,46,248
2026,5,89,126361.37,6,21,68,13,76,24,65
