year,month,decision_count,amount_total,supplier_count,amount_known_count,amount_missing_count,supplier_known_count,supplier_missing_count,detail_enriched_decision_count,search_only_decision_count
2020,1,204,137500.0,0,1,203,0,204,0,204
2020,2,187,60000.0,0,1,186,0,187,0,187
2020,3,155,0.0,0,0,155,0,155,0,155
2020,4,313,0.0,0,0,313,0,313,0,313
2020,5,293,0.0,0,0,293,0,293,0,293
2020,6,343,0.0,0,0,343,0,343,0,343
2020,7,464,0.0,0,0,464,0,464,0,464
2020,8,377,0.0,0,0,377,0,377,0,377
2020,9,483,0.0,0,0,483,0,483,0,483
2020,10,399,212083.4,0,1,398,0,399,0,399
2020,11,331,0.0,0,0,331,0,331,0,331
2020,12,918,1205000.0,0,1,917,0,918,0,918
2021,1,118,0.0,0,0,118,0,118,0,118
2021,2,238,60000.0,0,1,237,0,238,0,238
2021,3,307,0.0,0,0,307,0,307,0,307
2021,4,181,0.0,0,0,181,0,181,0,181
2021,5,445,4049840.0,0,1,444,0,445,0,445
2021,6,539,3266000.0,0,1,538,0,539,0,539
2021,7,464,0.0,0,0,464,0,464,0,464
2021,8,390,0.0,0,0,390,0,390,0,390
2021,9,371,0.0,0,0,371,0,371,0,371
2021,10,402,0.0,0,0,402,0,402,0,402
2021,11,353,0.0,0,0,353,0,353,0,353
2021,12,966,0.0,0,0,966,0,966,0,966
2022,1,162,0.0,0,0,162,0,162,0,162
2022,2,248,272082.16000000003,0,2,246,0,248,0,248
2022,3,355,1000000.0,0,2,353,0,355,0,355
2022,4,560,530000.0,0,1,559,0,560,0,560
2022,5,490,9150000.0,0,2,488,0,490,0,490
2022,6,584,0.0,0,0,584,0,584,0,584
2022,7,358,6308.0,0,1,357,0,358,0,358
2022,8,439,0.0,0,0,439,0,439,0,439
2022,9,396,3720000.0,0,1,395,0,396,0,396
2022,10,441,3400000.0,0,1,440,0,441,0,441
2022,11,707,212083.4,0,1,706,0,707,0,707
2022,12,975,9060780.68,0,2,973,0,975,0,975
2023,1,259,4745464.0,0,2,257,0,259,0,259
2023,2,187,0.0,0,0,187,0,187,0,187
2023,3,488,0.0,0,0,488,0,488,0,488
2023,4,584,100000.0,0,1,583,0,584,0,584
2023,5,603,200000.0,0,1,602,0,603,0,603
2023,6,377,0.0,0,0,377,0,377,0,377
2023,7,267,0.0,0,0,267,0,267,0,267
2023,8,376,0.0,0,0,376,0,376,0,376
2023,9,314,0.0,0,0,314,0,314,0,314
2023,10,366,0.0,0,0,366,0,366,0,366
2023,11,424,0.0,0,0,424,0,424,0,424
2023,12,635,0.0,0,0,635,0,635,0,635
2024,1,258,0.0,0,0,258,0,258,0,258
2024,2,281,0.0,0,0,281,0,281,0,281
2024,3,227,3202.0,0,1,226,0,227,0,227
2024,4,214,0.0,0,0,214,0,214,0,214
2024,5,240,0.0,0,0,240,0,240,0,240
2024,6,224,0.0,0,0,224,0,224,0,224
2024,7,274,0.0,0,0,274,0,274,0,274
2024,8,283,0.0,0,0,283,0,283,0,283
2024,9,308,0.0,0,0,308,0,308,0,308
2024,10,273,0.0,0,0,273,0,273,0,273
2024,11,312,0.0,0,0,312,0,312,0,312
2024,12,655,12202.0,0,1,654,0,655,0,655
2025,1,232,0.0,0,0,232,0,232,0,232
2025,2,351,0.0,0,0,351,0,351,0,351
2025,3,442,200000.0,0,1,441,0,442,0,442
2025,4,312,1437249.74,0,1,311,0,312,0,312
2025,5,352,0.0,0,0,352,0,352,0,352
2025,6,322,0.0,0,0,322,0,322,0,322
2025,7,382,0.0,0,0,382,0,382,0,382
2025,8,321,0.0,0,0,321,0,321,0,321
2025,9,304,0.0,0,0,304,0,304,0,304
2025,10,356,0.0,0,0,356,0,356,0,356
2025,11,441,0.0,0,0,441,0,441,0,441
2025,12,683,0.0,0,0,683,0,683,0,683
2026,1,183,0.0,0,0,183,0,183,0,183
2026,2,215,0.0,0,0,215,0,215,0,215
2026,3,323,0.0,0,0,323,0,323,0,323
2026,4,250,0.0,0,0,250,0,250,0,250
2026,5,187,0.0,0,0,187,0,187,0,187
