year,month,decision_count,amount_total,supplier_count,amount_known_count,amount_missing_count,supplier_known_count,supplier_missing_count,detail_enriched_decision_count,search_only_decision_count
2020,2,211,0.0,0,0,211,0,211,0,211
2020,3,108,0.0,0,0,108,0,108,0,108
2020,4,108,0.0,0,0,108,0,108,0,108
2020,5,155,0.0,0,0,155,0,155,0,155
2020,6,145,0.0,0,0,145,0,145,0,145
2020,7,210,0.0,0,0,210,0,210,0,210
2020,8,126,0.0,0,0,126,0,126,0,126
2020,9,181,0.0,0,0,181,0,181,0,181
2020,10,192,0.0,0,0,192,0,192,0,192
2020,11,213,0.0,0,0,213,0,213,0,213
2020,12,133,0.0,0,0,133,0,133,0,133
2021,1,287,0.0,0,0,287,0,287,0,287
2021,2,206,0.0,0,0,206,0,206,0,206
2021,3,181,4599.9,0,1,180,0,181,0,181
2021,4,145,0.0,0,0,145,0,145,0,145
2021,5,165,0.0,0,0,165,0,165,0,165
2021,6,152,0.0,0,0,152,0,152,0,152
2021,7,222,0.0,0,0,222,0,222,0,222
2021,8,117,0.0,0,0,117,0,117,0,117
2021,9,210,0.0,0,0,210,0,210,0,210
2021,10,161,0.0,0,0,161,0,161,0,161
2021,11,220,0.0,0,0,220,0,220,0,220
2021,12,202,29800.0,0,1,201,0,202,0,202
2022,1,190,0.0,0,0,190,0,190,0,190
2022,2,168,0.0,0,0,168,0,168,0,168
2022,3,141,0.0,0,0,141,0,141,0,141
2022,4,164,0.0,0,0,164,0,164,0,164
2022,5,185,0.0,0,0,185,0,185,0,185
2022,6,175,0.0,0,0,175,0,175,0,175
2022,7,130,0.0,0,0,130,0,130,0,130
2022,8,109,0.0,0,0,109,0,109,0,109
2022,9,185,0.0,0,0,185,0,185,0,185
2022,10,163,0.0,0,0,163,0,163,0,163
2022,11,206,0.0,0,0,206,0,206,0,206
2022,12,149,0.0,0,0,149,0,149,0,149
2023,1,137,0.0,0,0,137,0,137,0,137
2023,2,196,0.0,0,0,196,0,196,0,196
2023,3,149,0.0,0,0,149,0,149,0,149
2023,4,141,0.0,0,0,141,0,141,0,141
2023,5,157,0.0,0,0,157,0,157,0,157
2023,6,169,0.0,0,0,169,0,169,0,169
2023,7,146,0.0,0,0,146,0,146,0,146
2023,8,159,0.0,0,0,159,0,159,0,159
2023,9,202,0.0,0,0,202,0,202,0,202
2023,10,188,0.0,0,0,188,0,188,0,188
2023,11,173,0.0,0,0,173,0,173,0,173
2023,12,266,0.0,0,0,266,0,266,0,266
2024,1,136,0.0,0,0,136,0,136,0,136
2024,2,204,0.0,0,0,204,0,204,0,204
2024,3,129,0.0,0,0,129,0,129,0,129
2024,4,168,0.0,0,0,168,0,168,0,168
2024,5,132,0.0,0,0,132,0,132,0,132
2024,6,157,0.0,0,0,157,0,157,0,157
2024,7,187,0.0,0,0,187,0,187,0,187
2024,8,153,0.0,0,0,153,0,153,0,153
2024,9,171,0.0,0,0,171,0,171,0,171
2024,10,180,0.0,0,0,180,0,180,0,180
2024,11,199,4599.85,0,1,198,0,199,0,199
2024,12,208,0.0,0,0,208,0,208,0,208
2025,1,191,0.0,0,0,191,0,191,0,191
2025,2,238,0.0,0,0,238,0,238,0,238
2025,3,317,0.0,0,0,317,0,317,0,317
2025,4,285,0.0,0,0,285,0,285,0,285
2025,5,300,0.0,0,0,300,0,300,0,300
2025,6,317,0.0,0,0,317,0,317,0,317
2025,7,285,0.0,0,0,285,0,285,0,285
2025,8,263,0.0,0,0,263,0,263,0,263
2025,9,267,4599.85,0,1,266,0,267,0,267
2025,10,319,0.0,0,0,319,0,319,0,319
2025,11,297,0.0,0,0,297,0,297,0,297
2025,12,380,0.0,0,0,380,0,380,0,380
2026,1,162,0.0,0,0,162,0,162,0,162
2026,2,241,0.0,0,0,241,0,241,0,241
2026,3,310,0.0,0,0,310,0,310,0,310
2026,4,257,0.0,0,0,257,0,257,0,257
2026,5,102,0.0,0,0,102,0,102,0,102
