year,month,decision_count,amount_total,supplier_count,amount_known_count,amount_missing_count,supplier_known_count,supplier_missing_count,detail_enriched_decision_count,search_only_decision_count
2020,1,58,700.0,1,2,56,1,57,1,57
2020,2,35,0.0,0,0,35,0,35,0,35
2020,3,22,248.0,1,1,21,1,21,1,21
2020,4,8,0.0,0,0,8,0,8,0,8
2020,5,40,2175.0,1,1,39,1,39,1,39
2020,6,32,0.0,0,0,32,0,32,0,32
2020,7,41,1100.0,1,1,40,1,40,1,40
2020,8,29,17650.0,1,2,27,1,28,1,28
2020,9,37,4823.6,1,1,36,1,36,1,36
2020,10,42,75400.0,2,2,40,2,40,2,40
2020,11,72,1391.28,1,1,71,1,71,1,71
2020,12,116,5084.0,1,1,115,1,115,1,115
2021,1,75,500.0,0,1,74,0,75,0,75
2021,2,54,0.0,0,0,54,0,54,0,54
2021,3,44,3313.2,1,3,41,2,42,2,42
2021,4,38,300.0,0,1,37,0,38,0,38
2021,5,51,9920.0,1,1,50,1,50,1,50
2021,6,37,0.0,0,0,37,0,37,0,37
2021,7,40,0.0,0,0,40,0,40,0,40
2021,8,32,0.0,0,0,32,0,32,0,32
2021,9,60,0.0,0,0,60,0,60,0,60
2021,10,25,0.0,0,0,25,0,25,0,25
2021,11,46,16417.0,2,2,44,2,44,2,44
2021,12,160,14843.08,1,2,158,1,159,1,159
2022,1,85,800.0,0,2,83,0,85,0,85
2022,2,46,0.0,0,0,46,0,46,0,46
2022,3,35,0.0,1,0,35,1,34,1,34
2022,4,39,0.0,0,0,39,0,39,0,39
2022,5,21,0.0,0,0,21,0,21,0,21
2022,6,38,51200.0,1,2,36,1,37,1,37
2022,7,29,0.0,0,0,29,0,29,0,29
2022,8,36,0.0,0,0,36,0,36,0,36
2022,9,60,27282.5,2,2,58,2,58,2,58
2022,10,33,34183.0,1,3,30,1,32,3,30
2022,11,55,0.0,0,0,55,0,55,0,55
2022,12,165,0.0,0,0,165,0,165,0,165
2023,1,69,0.0,0,0,69,0,69,0,69
2023,2,53,0.0,0,0,53,0,53,0,53
2023,3,28,16988.0,1,1,27,1,27,1,27
2023,4,31,6000.0,1,1,30,1,30,1,30
2023,5,6,0.0,0,0,6,0,6,0,6
2023,6,46,73193.48,2,2,44,2,44,2,44
2023,7,25,669.05,0,1,24,0,25,0,25
2023,8,22,0.0,0,0,22,0,22,0,22
2023,9,36,0.0,0,0,36,0,36,0,36
2023,10,38,0.0,0,0,38,0,38,0,38
2023,11,33,0.0,0,0,33,0,33,0,33
2023,12,101,0.0,0,0,101,0,101,0,101
2024,1,93,0.0,0,0,93,0,93,0,93
2024,2,52,0.0,0,0,52,0,52,0,52
2024,3,40,0.0,0,0,40,0,40,0,40
2024,4,57,0.0,0,0,57,0,57,0,57
2024,5,55,10000000.0,0,1,54,0,55,0,55
2024,6,54,20100.0,2,2,52,2,52,2,52
2024,7,71,81400.0,2,2,69,2,69,2,69
2024,8,23,0.0,0,0,23,0,23,0,23
2024,9,59,0.0,0,0,59,0,59,0,59
2024,10,104,12400.0,1,1,103,1,103,1,103
2024,11,61,44682.0,4,4,57,4,57,4,57
2024,12,186,0.0,0,0,186,0,186,0,186
2025,1,71,0.0,0,0,71,0,71,0,71
2025,2,91,45033.979999999996,8,10,81,10,81,10,81
2025,3,87,57748.0,5,8,79,8,79,8,79
2025,4,79,63992.55,4,6,73,6,73,6,73
2025,5,80,30914.0,4,6,74,6,74,6,74
2025,6,86,19900.0,2,4,82,3,83,4,82
2025,7,72,80760.0,4,5,67,5,67,5,67
2025,8,44,12923.34,1,3,41,2,42,3,41
2025,9,49,0.0,0,0,49,0,49,0,49
2025,10,80,0.0,0,0,80,0,80,0,80
2025,11,59,0.0,0,0,59,0,59,0,59
2025,12,156,2000.0,1,1,155,1,155,1,155
2026,1,104,641.18,0,1,103,0,104,0,104
2026,2,21,44020.0,2,6,15,5,16,6,15
2026,3,93,36828.0,1,1,92,1,92,1,92
2026,4,100,80235.98,10,13,87,13,87,13,87
2026,5,43,84572.0,4,4,39,4,39,4,39
