org,year,month,procurement_stage,ada,issue_date,decision_type,subject,url,amount,amount_source,supplier_name,supplier_tax_id,signer,unit
50226,2020,1,other,62ΟΞΟΡΗ9-2ΧΩ,2020-01-03,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ,https://diavgeia.gov.gr/doc/62ΟΞΟΡΗ9-2ΧΩ,,,,,,
50226,2020,1,other,65ΣΦΟΡΗ9-9ΝΞ,2020-01-03,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ,https://diavgeia.gov.gr/doc/65ΣΦΟΡΗ9-9ΝΞ,,,,,,
50226,2020,1,other,6ΛΕ3ΟΡΗ9-ΥΨΦ,2020-01-03,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ,https://diavgeia.gov.gr/doc/6ΛΕ3ΟΡΗ9-ΥΨΦ,,,,,,
50226,2020,1,other,6ΡΜΤΟΡΗ9-Ε8Ω,2020-01-03,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ,https://diavgeia.gov.gr/doc/6ΡΜΤΟΡΗ9-Ε8Ω,,,,,,
50226,2020,1,other,9ΣΣΓΟΡΗ9-95Φ,2020-01-03,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ,https://diavgeia.gov.gr/doc/9ΣΣΓΟΡΗ9-95Φ,,,,,,
50226,2020,1,other,Ψ14ΘΟΡΗ9-975,2020-01-03,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ,https://diavgeia.gov.gr/doc/Ψ14ΘΟΡΗ9-975,,,,,,
50226,2020,1,other,Ψ1ΖΟΟΡΗ9-Δ2Ζ,2020-01-03,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ,https://diavgeia.gov.gr/doc/Ψ1ΖΟΟΡΗ9-Δ2Ζ,,,,,,
50226,2020,1,other,Ψ3Φ9ΟΡΗ9-ΩΩ9,2020-01-03,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ,https://diavgeia.gov.gr/doc/Ψ3Φ9ΟΡΗ9-ΩΩ9,,,,,,
50226,2020,1,other,Ψ7ΞΘΟΡΗ9-ΗΒ3,2020-01-03,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ,https://diavgeia.gov.gr/doc/Ψ7ΞΘΟΡΗ9-ΗΒ3,,,,,,
50226,2020,1,other,ΨΗΧΥΟΡΗ9-Ν0Θ,2020-01-03,ΑΝΑΛΗΨΗ ΥΠΟΧΡΕΩΣΗΣ,ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ,https://diavgeia.gov.gr/doc/ΨΗΧΥΟΡΗ9-Ν0Θ,,,,,,
