procurement_key,org,year,month,ada,issue_date,decision_type,subject,amount,amount_source,supplier_key,supplier_name,supplier_tax_id,signer,unit,url
proc:32ac10742bd2,50226,2020,1,ΩΗΧΓΟΡΗ9-ΤΥΞ,1579478400000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,περί αναθέσεως προμήθειας και τοποθέτησης κιγκλιδωμάτων στο λιμενικό Φυλάκιο λιμένα Αγίου Κωνσταντίνου,200.0,detail:extraFieldValues.awardAmount.amount,tax:129356156,,129356156,124600,92806,https://diavgeia.gov.gr/doc/ΩΗΧΓΟΡΗ9-ΤΥΞ
proc:da063a2681a4,50226,2020,1,97ΛΝΟΡΗ9-4Θ1,2020-01-20,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,"περί καταβολής στον Γεώργιο Προβόπουλο της 2ης πληρωμής της προμήθειας και εγκατάστασης ηλεκτροπαραγωγού ζεύγους στο λιμένα Στυλίδας, εκ ευρώ (5751,12) με το ΦΠΑ.",,,,,,,,https://diavgeia.gov.gr/doc/97ΛΝΟΡΗ9-4Θ1
proc:cb842d57fff8,50226,2020,1,9ΠΚΔΟΡΗ9-ΘΥ3,2020-01-20,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,περί εγκρίσεως δαπάνης επισκευής του περιπολικού οχήματος του Β΄ Λ/Τ Αγίου Κωνσταντίνου ως και την προμήθεια των αντίστοιχων ανταλλακτικών,,,,,,,,https://diavgeia.gov.gr/doc/9ΠΚΔΟΡΗ9-ΘΥ3
proc:e66f0cf4c518,50226,2020,1,ΨΥΠΟΟΡΗ9-ΥΗΓ,2020-01-20,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,περί εγκρίσεως δαπάνης προμήθειας και τοποθέτησης οικίσκου προστασίας του ηλεκτροπαραγωγού ζεύγους στο λιμένα Στυλίδας,,,,,,,,https://diavgeia.gov.gr/doc/ΨΥΠΟΟΡΗ9-ΥΗΓ
proc:55a49be6bb4d,50226,2020,1,Ω294ΟΡΗ9-Δ2Π,2020-01-20,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,εξόφληση τιμολογίων,,,,,,,,https://diavgeia.gov.gr/doc/Ω294ΟΡΗ9-Δ2Π
proc:5e2d0ec81fcd,50226,2020,1,ΩΕΓΣΟΡΗ9-ΓΡ4,2020-01-20,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,περί έγκρισης υπερωριακής εργασίας της υπαλλήλου του Λιμενικού Ταμείου Φθ/δας για το Α΄ εξάμηνο 2020 έτους.,,,,,,,,https://diavgeia.gov.gr/doc/ΩΕΓΣΟΡΗ9-ΓΡ4
proc:ed0ebe185f5d,50226,2020,1,ΩΛΦΑΟΡΗ9-ΔΥ1,2020-01-20,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,"περί εγκρίσεως των εκάστοτε σταθερών και διαρκούς ή περιοδικού χαρακτήρα Της ανάληψης από τον Κ.Α.0000/0831 του Προϋπολογισμού χρήσης 2018 έτους της Υπηρεσίας του Λ.Τ.Φθ/δας, έως του ποσού των 500,00 ευρώ για την κάλυψη της πάσης φύσεως αλληλογραφίας για το έτος 20209.",500.0,subject:trusted_budget_phrase,,,,,,https://diavgeia.gov.gr/doc/ΩΛΦΑΟΡΗ9-ΔΥ1
proc:aa90550fcfc9,50226,2020,1,ΩΜΔΟΟΡΗ9-8ΟΗ,2020-01-20,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,περί εγκρίσεως δαπάνης επισκευής αεροθαλάμου και ζωναριού του σκάφους του Λ/Χ Στυλίδας,,,,,,,,https://diavgeia.gov.gr/doc/ΩΜΔΟΟΡΗ9-8ΟΗ
proc:9c6ec54e24a3,50226,2020,1,ΨΘΟΝΟΡΗ9-Χ3Ε,2020-01-29,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,Έγκριση δαπάνης για την προμήθεια διαφόρων μικροϋλικών ετησίως που θα καλύπτουν έκτακτες ανάγκες της Υπηρεσίας μας και δεν κατονομάζονται ειδικά,,,,,,,,https://diavgeia.gov.gr/doc/ΨΘΟΝΟΡΗ9-Χ3Ε
proc:47f1de85b31d,50226,2020,1,ΨΤΡΖΟΡΗ9-2ΓΞ,2020-01-29,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,περί εγκρίσεως δαπάνης για την προετοιμασία του φακέλου για την διατήρηση πιστοποίησης κατά ISO 9001:2015 των εγκαταστάσεων του λιμένα Στυλίδας ως τερματικού σταθμού χύδην φορτίων,,,,,,,,https://diavgeia.gov.gr/doc/ΨΤΡΖΟΡΗ9-2ΓΞ
proc:03db3ab854cf,50226,2020,1,ΩΘΨΘΟΡΗ9-1Σ8,2020-01-29,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,Δέσμευση πίστωσης για την προμήθεια φωτοτυπιών,,,,,,,,https://diavgeia.gov.gr/doc/ΩΘΨΘΟΡΗ9-1Σ8
proc:15fd10036092,50226,2020,1,ΩΡΘΞΟΡΗ9-6ΔΨ,2020-01-29,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,Έγκριση δαπάνης για την άμεση αντιμετώπιση έκτακτων αναγκών της Υπηρεσίας μας και δεν κατονομάζονται ειδικά,,,,,,,,https://diavgeia.gov.gr/doc/ΩΡΘΞΟΡΗ9-6ΔΨ
proc:640b1f4886ef,50226,2020,2,66ΖΦΟΡΗ9-7Θ4,2020-02-13,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,Έγκριση διάθεσης πίστωσης για την διατήρηση του προγράμματος Νομοτέλεια,,,,,,,,https://diavgeia.gov.gr/doc/66ΖΦΟΡΗ9-7Θ4
proc:037eae147700,50226,2020,2,6ΔΡΛΟΡΗ9-ΔΙΛ,2020-02-13,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,ΕΞΌΦΛΗΣΗ ΤΙΜΟΛΟΓΊΩΝ,,,,,,,,https://diavgeia.gov.gr/doc/6ΔΡΛΟΡΗ9-ΔΙΛ
proc:3faef6684467,50226,2020,2,9ΨΝΒΟΡΗ9-Ψ5Β,2020-02-13,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,προμήθεια προγράμματος προστασίας των Η/Υ του ΛΤΦ από υιούς,,,,,,,,https://diavgeia.gov.gr/doc/9ΨΝΒΟΡΗ9-Ψ5Β
proc:c65bb94e2b15,50226,2020,2,Ψ96ΦΟΡΗ9-ΣΣΠ,2020-02-13,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,Καταβολή στην ΡΑΛ το τέλος χρηματοδότησής της,,,,,,,,https://diavgeia.gov.gr/doc/Ψ96ΦΟΡΗ9-ΣΣΠ
proc:8085885c878b,50226,2020,2,ΨΗΨ0ΟΡΗ9-3ΙΚ,2020-02-13,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,Προμήθεια λαμπτήρων led,,,,,,,,https://diavgeia.gov.gr/doc/ΨΗΨ0ΟΡΗ9-3ΙΚ
proc:0fa35e08568c,50226,2020,2,Ω7ΣΩΟΡΗ9-ΜΦ4,2020-02-13,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,Προμήθεια υδρομέτρου για το Λ/Χ Στυλίδας.,,,,,,,,https://diavgeia.gov.gr/doc/Ω7ΣΩΟΡΗ9-ΜΦ4
proc:99d40233e3d8,50226,2020,3,6ΞΟΧΟΡΗ9-ΞΨΩ,1584316800000,ΑΝΑΘΕΣΗ ΕΡΓΩΝ / ΠΡΟΜΗΘΕΙΩΝ / ΥΠΗΡΕΣΙΩΝ / ΜΕΛΕΤΩΝ,Περί της απευθείας αναθέσεως στην εταιρεία ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ Π.-ΚΑΛΤΣΟΥΛΑΣ Ι.-ΚΟΥΤΣΙΟΥΚΗΣ Ι. ΟΕ υπηρεσιών για την συντήρηση του συστήματος διαχείρισης της ποιότητας σύμφωνα με το πρότυπο ISO 9001:2015,248.0,detail:extraFieldValues.awardAmount.amount,tax:800396956,,800396956,100058408,92806,https://diavgeia.gov.gr/doc/6ΞΟΧΟΡΗ9-ΞΨΩ
proc:bcbac2095cc4,50226,2020,3,68ΨΧΟΡΗ9-ΖΓ4,2020-03-16,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,περί εγκρίσεως της επιπλέον δαπάνης εγκαταστάσεως της γεννήτριας στο λιμένα Στυλίδας (εργασίες εκτός μελέτης-πιστοποιημένες από ΔΤΕ Περιφέρειας),,,,,,,,https://diavgeia.gov.gr/doc/68ΨΧΟΡΗ9-ΖΓ4
proc:029540cabe36,50226,2020,3,69ΔΕΟΡΗ9-Π1Α,2020-03-16,ΛΟΙΠΕΣ ΑΤΟΜΙΚΕΣ ΔΙΟΙΚΗΤΙΚΕΣ ΠΡΑΞΕΙΣ,"περί της συγκροτήσεως τριμελούς επιτροπής παραλαβής προμήθειας προϊόντων και παροχής υπηρεσιών του Λιμενικού Ταμείου Φθ/δας, ως και της παροχής υπηρεσιών φύλαξης του λιμένα Στυλίδας με βάση τις απαιτήσεις του κώδικα ασφαλείας ISPS και του κανονισμού (ΕΚ)725/2004) για την τριετία 2020-2023",,,,,,,,https://diavgeia.gov.gr/doc/69ΔΕΟΡΗ9-Π1Α
proc:43acf6a3b13d,50226,2020,3,9ΒΤΝΟΡΗ9-ΩΩΠ,2020-03-16,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,περί της αποδόσεως στο πρακτορείο Νικολάου Περλεπέ των δικαιωμάτων του επί των τελών επιβατών και οχημάτων για το έτος 2019,,,,,,,,https://diavgeia.gov.gr/doc/9ΒΤΝΟΡΗ9-ΩΩΠ
proc:8396a1fcd6fd,50226,2020,3,Ψ7ΑΖΟΡΗ9-0ΞΒ,2020-03-16,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,περί καταβολής στο ΜΤΝ του ποσοστού του,,,,,,,,https://diavgeia.gov.gr/doc/Ψ7ΑΖΟΡΗ9-0ΞΒ
