year,month,decision_count,amount_total,supplier_count,amount_known_count,amount_missing_count,supplier_known_count,supplier_missing_count,detail_enriched_decision_count,search_only_decision_count
2020,1,239,0.0,0,0,239,0,239,0,239
2020,2,195,0.0,0,0,195,0,195,0,195
2020,3,159,0.0,0,0,159,0,159,0,159
2020,4,103,0.0,0,0,103,0,103,0,103
2020,5,96,0.0,0,0,96,0,96,0,96
2020,6,137,0.0,0,0,137,0,137,0,137
2020,7,149,0.0,0,0,149,0,149,0,149
2020,8,133,0.0,0,0,133,0,133,0,133
2020,9,159,0.0,0,0,159,0,159,0,159
2020,10,280,50000.0,0,1,279,0,280,0,280
2020,11,125,0.0,0,0,125,0,125,0,125
2020,12,238,0.0,0,0,238,0,238,0,238
2021,1,289,0.0,0,0,289,0,289,0,289
2021,2,95,0.0,0,0,95,0,95,0,95
2021,3,161,0.0,0,0,161,0,161,0,161
2021,4,183,0.0,0,0,183,0,183,0,183
2021,5,119,0.0,0,0,119,0,119,0,119
2021,6,152,0.0,0,0,152,0,152,0,152
2021,7,165,0.0,0,0,165,0,165,0,165
2021,8,116,0.0,0,0,116,0,116,0,116
2021,9,274,0.0,0,0,274,0,274,0,274
2021,10,153,0.0,0,0,153,0,153,0,153
2021,11,143,0.0,0,0,143,0,143,0,143
2021,12,265,0.0,0,0,265,0,265,0,265
2022,1,246,0.0,0,0,246,0,246,0,246
2022,2,219,0.0,0,0,219,0,219,0,219
2022,3,173,0.0,0,0,173,0,173,0,173
2022,4,145,0.0,0,0,145,0,145,0,145
2022,5,139,0.0,0,0,139,0,139,0,139
2022,6,171,0.0,0,0,171,0,171,0,171
2022,7,166,0.0,0,0,166,0,166,0,166
2022,8,277,0.0,0,0,277,0,277,0,277
2022,9,134,0.0,0,0,134,0,134,0,134
2022,10,149,0.0,0,0,149,0,149,0,149
2022,11,225,0.0,0,0,225,0,225,0,225
2022,12,207,0.0,0,0,207,0,207,0,207
2023,1,318,0.0,0,0,318,0,318,0,318
2023,2,139,0.0,0,0,139,0,139,0,139
2023,3,173,43963.58,0,1,172,0,173,0,173
2023,4,135,0.0,0,0,135,0,135,0,135
2023,5,162,0.0,0,0,162,0,162,0,162
2023,6,207,0.0,0,0,207,0,207,0,207
2023,7,140,0.0,0,0,140,0,140,0,140
2023,8,248,0.0,0,0,248,0,248,0,248
2023,9,119,0.0,0,0,119,0,119,0,119
2023,10,169,0.0,0,0,169,0,169,0,169
2023,11,202,50000.0,0,1,201,0,202,0,202
2023,12,205,0.0,0,0,205,0,205,0,205
2024,1,293,0.0,0,0,293,0,293,0,293
2024,2,205,0.0,0,0,205,0,205,0,205
2024,3,148,0.0,0,0,148,0,148,0,148
2024,4,172,0.0,0,0,172,0,172,0,172
2024,5,140,0.0,0,0,140,0,140,0,140
2024,6,153,0.0,0,0,153,0,153,0,153
2024,7,191,0.0,0,0,191,0,191,0,191
2024,8,155,2499.0,0,1,154,0,155,0,155
2024,9,217,0.0,0,0,217,0,217,0,217
2024,10,168,0.0,0,0,168,0,168,0,168
2024,11,209,0.0,0,0,209,0,209,0,209
2024,12,168,0.0,0,0,168,0,168,0,168
2025,1,328,0.0,0,0,328,0,328,0,328
2025,2,167,0.0,0,0,167,0,167,0,167
2025,3,142,0.0,0,0,142,0,142,0,142
2025,4,162,0.0,0,0,162,0,162,0,162
2025,5,169,0.0,0,0,169,0,169,0,169
2025,6,132,0.0,0,0,132,0,132,0,132
2025,7,192,0.0,0,0,192,0,192,0,192
2025,8,135,0.0,0,0,135,0,135,0,135
2025,9,266,0.0,0,0,266,0,266,0,266
2025,10,191,0.0,0,0,191,0,191,0,191
2025,11,197,0.0,0,0,197,0,197,0,197
2025,12,278,0.0,0,0,278,0,278,0,278
2026,1,216,0.0,0,0,216,0,216,0,216
2026,2,182,0.0,0,0,182,0,182,0,182
2026,3,171,0.0,0,0,171,0,171,0,171
2026,4,150,0.0,0,0,150,0,150,0,150
2026,5,84,0.0,0,0,84,0,84,0,84
