year,month,decision_count,amount_total,supplier_count,amount_known_count,amount_missing_count,supplier_known_count,supplier_missing_count,detail_enriched_decision_count,search_only_decision_count
2020,1,99,271087.87,1,1,98,1,98,1,98
2020,2,367,52170.520000000004,4,4,363,4,363,4,363
2020,3,221,1559592.1099999999,8,14,207,10,211,12,209
2020,4,187,241703.50999999998,17,26,161,23,164,23,164
2020,5,193,1163294.6300000001,12,14,179,13,180,14,179
2020,6,193,349520.5,21,22,171,22,171,22,171
2020,7,274,152664.15000000002,22,25,249,25,249,25,249
2020,8,176,30318.24,12,12,164,12,164,13,163
2020,9,251,4378778.97,9,13,238,9,242,9,242
2020,10,304,54448.39,10,11,293,11,293,11,293
2020,11,267,1309012.14,13,20,247,16,251,19,248
2020,12,757,454789.72000000003,45,52,705,51,706,52,705
2021,1,240,31969.0,2,3,237,3,237,3,237
2021,2,301,72045.87,15,17,284,18,283,18,283
2021,3,248,83348.67,18,24,224,23,225,23,225
2021,4,265,280358.45,17,17,248,17,248,17,248
2021,5,266,112861.82999999999,16,20,246,20,246,22,244
2021,6,243,494706.07,18,20,223,18,225,19,224
2021,7,234,56358.65,18,19,215,19,215,20,214
2021,8,197,354945.62,13,15,182,14,183,14,183
2021,9,228,113568.11,13,14,214,14,214,14,214
2021,10,237,73040.83,13,18,219,17,220,17,220
2021,11,346,139896.85,20,22,324,20,326,22,324
2021,12,777,611247.3,43,56,721,49,728,55,722
2022,1,143,1765063.74,1,3,140,1,142,6,137
2022,2,279,1883787.17,3,6,273,3,276,6,273
2022,3,188,2737509.95,8,13,175,11,177,12,176
2022,4,281,3050458.55,7,12,269,11,270,11,270
2022,5,260,181291.63999999998,18,22,238,22,238,24,236
2022,6,257,259881.66999999998,18,21,236,19,238,20,237
2022,7,210,874862.23,23,29,181,28,182,28,182
2022,8,265,1071747.77,12,13,252,12,253,14,251
2022,9,298,707947.34,15,20,278,16,282,39,259
2022,10,262,374196.29,16,20,242,18,244,19,243
2022,11,330,926983.27,16,23,307,20,310,20,310
2022,12,765,291975.81,36,55,710,53,712,55,710
2023,1,154,1000000.0,0,1,153,0,154,0,154
2023,2,294,208883.27,5,6,288,5,289,5,289
2023,3,356,161170.79,18,25,331,25,331,25,331
2023,4,270,553837.89,24,31,239,28,242,30,240
2023,5,304,445046.28,24,33,271,31,273,33,271
2023,6,279,1732595.44,20,27,252,23,256,23,256
2023,7,322,793733.9400000001,17,21,301,19,303,21,301
2023,8,201,748887.1500000001,13,20,181,17,184,18,183
2023,9,331,122879.04999999999,21,23,308,23,308,39,292
2023,10,285,83377.64,18,18,267,19,266,20,265
2023,11,363,2656618.1300000004,22,29,334,26,337,33,330
2023,12,800,3789661.3599999994,35,55,745,51,749,56,744
2024,1,174,1427171.38,0,2,172,0,174,0,174
2024,2,189,1671855.0999999999,0,2,187,0,189,0,189
2024,3,393,497157.64,10,12,381,11,382,12,381
2024,4,407,1777749.94,33,39,368,39,368,39,368
2024,5,258,1212762.41,19,24,234,21,237,23,235
2024,6,278,779276.16,24,36,242,34,244,34,244
2024,7,326,363507.96,15,16,310,15,311,16,310
2024,8,203,102726.70000000001,17,19,184,19,184,20,183
2024,9,288,648038.94,22,27,261,23,265,24,264
2024,10,297,353613.02,21,25,272,23,274,24,273
2024,11,309,146932.2,18,19,290,18,291,18,291
2024,12,916,679945.0700000001,23,35,881,31,885,40,876
2025,1,207,294292.61,0,2,205,0,207,0,207
2025,2,298,126171.24,11,13,285,12,286,12,286
2025,3,446,405091.01999999996,22,26,420,25,421,25,421
2025,4,368,1393619.25,27,33,335,31,337,32,336
2025,5,294,327500.82,18,21,273,18,276,23,271
2025,6,263,122815.25,17,18,245,18,245,19,244
2025,7,358,409450.89999999997,26,30,328,29,329,29,329
2025,8,214,307152.88,12,9,205,13,201,13,201
2025,9,274,276813.34,12,13,261,12,262,12,262
2025,10,275,61428.93999999999,17,21,254,21,254,21,254
2025,11,351,328650.10000000003,16,17,334,17,334,19,332
2025,12,881,231236.34,34,48,833,47,834,48,833
2026,1,164,0.0,0,0,164,0,164,0,164
2026,2,252,2019298.78,0,2,250,0,252,0,252
2026,3,383,385333.33999999997,6,10,373,9,374,9,374
2026,4,342,3361298.1,15,18,324,17,325,17,325
2026,5,137,84656.58,14,14,123,14,123,15,122
