year,month,decision_count,amount_total,supplier_count,amount_known_count,amount_missing_count,supplier_known_count,supplier_missing_count,detail_enriched_decision_count,search_only_decision_count
2020,2,457,1122463.73,0,70,387,0,457,71,386
2020,3,500,3912806.03,0,133,367,0,500,103,397
2020,4,500,3123693.7800000003,0,103,397,0,500,72,428
2020,5,500,2117410.75,0,69,431,0,500,68,432
2020,6,500,2797100.0,0,88,412,0,500,83,417
2020,7,476,3961550.9000000004,0,102,374,0,476,115,361
2020,8,392,2392956.54,0,50,342,0,392,46,346
2020,9,500,796397.1299999999,0,52,448,0,500,54,446
2020,10,500,1629302.0899999999,0,75,425,0,500,63,437
2020,11,500,948846.23,0,66,434,0,500,59,441
2020,12,500,10255700.69,0,101,399,0,500,97,403
2021,1,500,15960383.819999998,0,135,365,0,500,120,380
2021,2,500,5284169.44,0,54,446,0,500,34,466
2021,3,500,4760768.470000001,0,114,386,0,500,97,403
2021,4,500,3436810.4399999995,0,109,391,0,500,77,423
2021,5,446,2242665.51,0,84,362,0,446,50,396
2021,6,500,7030214.29,0,68,432,0,500,66,434
2021,7,500,6769869.76,0,63,437,0,500,70,430
2021,8,366,777417.72,0,47,319,0,366,53,313
2021,9,500,1613731.1999999997,0,72,428,0,500,79,421
2021,10,487,2522167.54,0,97,390,0,487,89,398
2021,11,500,849145.83,0,52,448,0,500,47,453
2021,12,500,2872933.45,0,53,447,0,500,109,391
2022,1,500,8593936.39,0,129,371,0,500,129,371
2022,2,482,3123021.1399999997,0,55,427,0,482,52,430
2022,3,500,8774062.18,0,124,376,0,500,128,372
2022,4,500,1813123.19,0,61,439,0,500,56,444
2022,5,500,3972181.53,0,127,373,0,500,112,388
2022,6,500,4249619.029999999,0,85,415,0,500,75,425
2022,7,500,4775809.32,0,104,396,0,500,149,351
2022,8,350,1011077.7,0,50,300,0,350,63,287
2022,9,500,2768668.6900000004,0,72,428,0,500,77,423
2022,10,500,1771838.8800000001,0,47,453,0,500,40,460
2022,11,500,1359047.13,0,58,442,0,500,55,445
2022,12,500,14311253.940000001,0,279,221,0,500,323,177
2023,1,500,9494763.120000001,0,108,392,0,500,144,356
2023,2,458,612566.1699999999,0,52,406,0,458,156,302
2023,3,500,2935345.24,0,79,421,0,500,76,424
2023,4,472,1450048.0699999998,0,65,407,0,472,63,409
2023,5,500,2515496.4300000006,0,77,423,0,500,59,441
2023,6,500,2300080.51,0,74,426,0,500,119,381
2023,7,500,3293677.52,0,77,423,0,500,42,458
2023,8,470,2087104.4300000002,0,86,384,0,470,72,398
2023,9,500,2726822.45,0,65,435,0,500,64,436
2023,10,500,1795229.18,0,70,430,0,500,90,410
2023,11,500,2335250.07,0,98,402,0,500,101,399
2023,12,500,16159899.420000002,0,301,199,0,500,372,128
2024,1,500,10682744.309999999,0,217,283,0,500,208,292
2024,2,500,3053247.1,0,109,391,0,500,58,442
2024,3,499,1890350.79,0,82,417,0,499,72,427
2024,4,500,2259287.6100000003,0,90,410,0,500,61,439
2024,5,500,1349514.6500000001,0,65,435,0,500,59,441
2024,6,500,2384637.48,0,67,433,0,500,52,448
2024,7,500,2885162.31,0,80,420,0,500,99,401
2024,8,500,1638233.41,0,53,447,0,500,65,435
2024,9,500,513217.48,0,39,461,0,500,64,436
2024,10,500,1501495.29,0,61,439,0,500,62,438
2024,11,500,1290536.9000000001,0,76,424,0,500,63,437
2024,12,500,10504384.670000002,0,265,235,0,500,324,176
2025,1,500,6477543.500000001,0,244,256,0,500,215,285
2025,2,500,2516224.19,0,87,413,0,500,63,437
2025,3,500,5325813.37,0,111,389,0,500,161,339
2025,4,500,11525923.370000001,0,150,350,0,500,127,373
2025,5,500,4115127.35,0,102,398,0,500,70,430
2025,6,500,5926937.619999999,0,86,414,0,500,68,432
2025,7,500,3822368.19,0,122,378,0,500,107,393
2025,8,395,4085910.3800000004,0,76,319,0,395,41,354
2025,9,500,3569764.6900000004,0,115,385,0,500,81,419
2025,10,500,3217630.51,0,118,382,0,500,82,418
2025,11,500,5744409.43,0,122,378,0,500,112,388
2025,12,500,10619980.040000001,0,240,260,0,500,298,202
2026,1,500,7032008.579999999,0,131,369,0,500,121,379
2026,2,500,3969833.3000000003,0,95,405,0,500,73,427
2026,3,500,2650793.92,0,94,406,0,500,73,427
2026,4,500,3753154.3600000003,0,93,407,0,500,74,426
2026,5,416,4180009.3500000006,0,103,313,0,416,84,332
