year,month,decision_count,amount_total,supplier_count,amount_known_count,amount_missing_count,supplier_known_count,supplier_missing_count,detail_enriched_decision_count,search_only_decision_count
2020,1,325,5803915.03,0,203,122,0,325,204,121
2020,2,205,1404551.54,0,75,130,0,205,75,130
2020,3,210,9213895.399999999,0,150,60,0,210,150,60
2020,4,252,1126774.06,0,42,210,0,252,46,206
2020,5,351,790124.46,0,41,310,0,351,41,310
2020,6,96,1348038.78,0,47,49,0,96,54,42
2020,7,106,3179423.8499999996,0,80,26,0,106,80,26
2020,8,92,243317.37,0,23,69,0,92,25,67
2020,9,210,2450108.23,0,65,145,0,210,65,145
2020,10,290,707346.9,0,61,229,0,290,65,225
2020,11,193,3178983.62,0,102,91,0,193,108,85
2020,12,500,13922568.94,0,315,185,0,500,319,181
2021,1,418,4994687.83,0,239,179,0,418,242,176
2021,2,109,1905770.01,0,22,87,0,109,22,87
2021,3,444,18325072.669999998,0,182,262,0,444,182,262
2021,4,342,1538176.5899999999,0,45,297,0,342,49,293
2021,5,220,1176285.2,0,38,182,0,220,37,183
2021,6,139,1312766.52,0,31,108,0,139,33,106
2021,7,351,1401652.13,0,41,310,0,351,44,307
2021,8,289,666193.59,0,33,256,0,289,34,255
2021,9,168,2329702.58,0,58,110,0,168,61,107
2021,10,145,712960.3999999999,0,41,104,0,145,41,104
2021,11,322,1131411.05,0,81,241,0,322,83,239
2021,12,500,14390283.04,0,263,237,0,500,262,238
2022,1,338,9816500.57,0,215,123,0,338,222,116
2022,2,450,2821502.93,0,83,367,0,450,84,366
2022,3,364,10609832.44,0,111,253,0,364,112,252
2022,4,432,3522416.26,0,72,360,0,432,74,358
2022,5,400,1628592.72,0,59,341,0,400,61,339
2022,6,332,2502559.21,0,54,278,0,332,57,275
2022,7,287,4824427.75,0,44,243,0,287,43,244
2022,8,379,1203689.04,0,43,336,0,379,49,330
2022,9,208,2611663.96,0,59,149,0,208,59,149
2022,10,265,3518793.1800000006,0,57,208,0,265,60,205
2022,11,207,1304766.36,0,51,156,0,207,55,152
2022,12,500,16924533.18,0,382,118,0,500,384,116
2023,1,432,13859755.129999999,0,295,137,0,432,297,135
2023,2,222,2072880.0399999998,0,50,172,0,222,51,171
2023,3,500,9441153.06,0,146,354,0,500,148,352
2023,4,204,1875541.2599999998,0,39,165,0,204,41,163
2023,5,500,8312972.140000001,0,97,403,0,500,93,407
2023,6,500,1916528.24,0,67,433,0,500,59,441
2023,7,258,3026670.0300000003,0,61,197,0,258,63,195
2023,8,195,3617774.9800000004,0,56,139,0,195,51,144
2023,9,163,1545845.1600000001,0,39,124,0,163,36,127
2023,10,312,3281439.14,0,65,247,0,312,63,249
2023,11,299,3867883.4299999997,0,102,197,0,299,101,198
2023,12,500,17239919.29,0,317,183,0,500,316,184
2024,1,500,28617748.8,0,209,291,0,500,208,292
2024,2,409,2474265.04,0,48,361,0,409,41,368
2024,3,238,3119779.16,0,60,178,0,238,57,181
2024,4,402,2589889.77,0,80,322,0,402,78,324
2024,5,347,1437050.49,0,60,287,0,347,55,292
2024,6,405,3411640.35,0,87,318,0,405,86,319
2024,7,244,2013775.53,0,57,187,0,244,57,187
2024,8,301,768270.46,0,51,250,0,301,49,252
2024,9,262,1848920.88,0,61,201,0,262,63,199
2024,10,229,2195372.99,0,93,136,0,229,93,136
2024,11,321,1195447.12,0,106,215,0,321,109,212
2024,12,500,13448508.04,0,296,204,0,500,298,202
2025,1,500,22283700.75,0,338,162,0,500,338,162
2025,2,397,4628410.760000001,0,124,273,0,397,122,275
2025,3,432,6883226.4399999995,0,126,306,0,432,125,307
2025,4,346,1645292.49,0,109,237,0,346,109,237
2025,5,457,3948011.9799999995,0,169,288,0,457,170,287
2025,6,386,1956320.01,0,153,233,0,386,159,227
2025,7,500,1659847.09,0,181,319,0,500,188,312
2025,8,320,1860008.6800000002,0,181,139,0,320,183,137
2025,9,370,1137935.75,0,141,229,0,370,144,226
2025,10,435,4723415.71,0,195,240,0,435,196,239
2025,11,500,3146841.41,0,243,257,0,500,243,257
2025,12,500,16075687.47,0,398,102,0,500,399,101
2026,1,395,25177177.31,0,263,132,0,395,263,132
2026,2,434,1815281.53,0,143,291,0,434,143,291
2026,3,383,1366460.52,0,131,252,0,383,130,253
2026,4,389,3138691.17,0,170,219,0,389,165,224
2026,5,338,1051102.1600000001,0,139,199,0,338,139,199
