year,month,decision_count,amount_total,supplier_count,amount_known_count,amount_missing_count,supplier_known_count,supplier_missing_count,detail_enriched_decision_count,search_only_decision_count
2020,1,515,7185210.78,12,26,489,12,503,17,498
2020,2,603,11769247.48,16,39,564,19,584,32,571
2020,3,421,26156604.53,21,65,356,22,399,61,360
2020,4,420,3199090.2,28,46,374,39,381,45,375
2020,5,364,10054638.920000002,19,49,315,19,345,50,314
2020,6,637,12427179.21,25,61,576,26,611,66,571
2020,7,584,10834475.89,41,79,505,44,540,73,511
2020,8,438,23872361.039999995,15,34,404,16,422,35,403
2020,9,605,16907441.19,32,79,526,35,570,74,531
2020,10,461,13108900.810000002,32,72,389,35,426,74,387
2020,11,570,19253447.11,32,75,495,41,529,85,485
2020,12,866,21953506.409999996,36,99,767,50,816,126,740
2021,1,558,5915.54,3,4,554,4,554,7,551
2021,2,553,15184684.989999998,23,60,493,29,524,70,483
2021,3,462,9007459.200000001,26,61,401,30,432,69,393
2021,4,518,8847200.209999999,13,44,474,15,503,40,478
2021,5,476,42722147.080000006,26,103,373,31,445,103,373
2021,6,518,12539289.42,18,57,461,19,499,51,467
2021,7,565,11004092.32,26,74,491,30,535,73,492
2021,8,416,8085229.89,27,68,348,31,385,71,345
2021,9,441,5473074.199999999,29,50,391,30,411,55,386
2021,10,472,8516977.68,20,61,411,20,452,85,387
2021,11,526,11123554.639999999,35,64,462,40,486,70,456
2021,12,665,21668308.040000003,27,72,593,29,636,80,585
2022,1,575,5606806.720000001,2,11,564,2,573,15,560
2022,2,530,18287278.69,10,55,475,10,520,57,473
2022,3,503,5189267.4,19,41,462,20,483,41,462
2022,4,525,16069397.13,32,92,433,35,490,89,436
2022,5,588,22831370.14,19,75,513,20,568,75,513
2022,6,631,11566630.89,19,63,568,20,611,61,570
2022,7,581,28740391.72,17,58,523,18,563,80,501
2022,8,556,12689146.66,14,52,504,15,541,70,486
2022,9,489,9994883.749999998,25,51,438,27,462,51,438
2022,10,468,13099603.12,18,59,409,18,450,68,400
2022,11,579,14281417.100000001,18,55,524,20,559,67,512
2022,12,733,31730166.9,26,89,644,27,706,95,638
2023,1,714,10903866.489999998,1,23,691,1,713,21,693
2023,2,509,14771401.18,11,41,468,11,498,49,460
2023,3,587,17367040.23,28,55,532,28,559,66,521
2023,4,454,7035794.15,12,35,419,12,442,44,410
2023,5,629,22531299.25,25,59,570,27,602,69,560
2023,6,508,24166413.13,22,57,451,23,485,68,440
2023,7,577,11150788.55,16,38,539,18,559,60,517
2023,8,634,30164580.16,19,55,579,19,615,74,560
2023,9,562,5657308.359999999,28,54,508,31,531,80,482
2023,10,575,10290168.670000002,14,38,537,15,560,60,515
2023,11,568,3411424.8900000006,29,57,511,29,539,73,495
2023,12,666,9957554.830000002,21,54,612,23,643,78,588
2024,1,698,1656188.58,0,10,688,0,698,21,677
2024,2,558,4288424.88,1,17,541,1,557,18,540
2024,3,632,9074867.049999999,13,42,590,14,618,50,582
2024,4,684,6362032.42,14,44,640,14,670,48,636
2024,5,548,7221226.290000001,12,49,499,12,536,52,496
2024,6,547,14759513.65,22,56,491,23,524,77,470
2024,7,714,10639896.0,13,54,660,13,701,66,648
2024,8,584,30178440.52,15,66,518,15,569,91,493
2024,9,565,12014995.19,4,34,531,4,561,55,510
2024,10,589,6266326.6,2,38,551,2,587,49,540
2024,11,749,12301128.209999999,2,45,704,3,746,72,677
2024,12,881,18499285.589999996,5,50,831,5,876,68,813
2025,1,855,8094754.27,1,30,825,1,854,48,807
2025,2,671,11727573.200000001,5,53,618,6,665,63,608
2025,3,557,10609496.99,2,36,521,2,555,50,507
2025,4,616,11131254.68,1,31,585,1,615,64,552
2025,5,849,16199886.040000001,5,58,791,5,844,99,750
2025,6,677,22137346.8,0,47,630,0,677,77,600
2025,7,710,10851554.79,2,43,667,2,708,68,642
2025,8,794,23833198.020000003,14,44,750,14,780,65,729
2025,9,582,13438583.5,4,38,544,4,578,57,525
2025,10,677,20405139.78,12,71,606,12,665,72,605
2025,11,646,21822036.090000004,7,59,587,8,638,61,585
2025,12,936,29818474.830000002,28,81,855,29,907,84,852
2026,1,461,12067761.75,2,35,426,2,459,48,413
2026,2,887,29200020.77,1,38,849,1,886,40,847
2026,3,569,17596893.91,0,17,552,0,569,18,551
2026,4,722,22858058.640000004,2,60,662,2,720,62,660
2026,5,231,8139503.669999999,0,20,211,0,231,23,208
