year,month,decision_count,amount_total,supplier_count,amount_known_count,amount_missing_count,supplier_known_count,supplier_missing_count,detail_enriched_decision_count,search_only_decision_count
2018,1,380,670000.0,0,2,378,0,380,0,380
2018,2,500,3566428.52,0,6,494,0,500,0,500
2018,12,500,0.0,0,0,500,0,500,0,500
2019,1,363,1252971.2,11,6,357,96,267,355,8
2019,2,500,2985056.67,62,4,496,278,222,489,11
2019,12,500,246218.84,0,2,498,0,500,0,500
2020,1,341,406606.44,16,4,337,88,253,336,5
2020,2,500,2621787.04,87,2,498,306,194,487,13
2020,3,500,1850.0,0,1,499,0,500,0,500
2020,4,500,464202.97,0,10,490,0,500,0,500
2020,5,500,3108344.4,0,12,488,0,500,0,500
2020,6,500,1500000.0,0,7,493,0,500,0,500
2020,7,500,1028396.37,0,5,495,0,500,0,500
2020,8,494,1387444.37,0,4,490,0,494,0,494
2020,9,500,5540943.0600000005,0,11,489,0,500,0,500
2020,10,500,1863910.26,0,7,493,0,500,0,500
2020,11,500,2159978.07,0,9,491,0,500,0,500
2020,12,500,15537.5,0,1,499,0,500,0,500
2021,1,495,221300.0,11,3,492,132,363,435,60
2021,2,500,696032.74,0,7,493,0,500,0,500
2021,3,500,3200341.3200000003,0,6,494,0,500,0,500
2021,4,500,281494.02,0,4,496,0,500,0,500
2021,5,500,3255233.42,0,5,495,0,500,0,500
2021,6,500,333977.44,0,3,497,0,500,0,500
2021,7,500,0.0,0,0,500,0,500,0,500
2021,8,500,2536217.9899999998,0,4,496,0,500,0,500
2021,9,500,2192062.67,0,2,498,0,500,0,500
2021,10,500,0.0,0,0,500,0,500,0,500
2021,11,500,150000.0,0,1,499,0,500,0,500
2021,12,500,0.0,0,0,500,0,500,0,500
2022,1,500,105650.29000000001,0,2,498,0,500,0,500
2022,2,500,98369.28,0,2,498,0,500,0,500
2022,3,500,662160.0,0,2,498,0,500,0,500
2022,4,500,90654.5,0,2,498,0,500,0,500
2022,5,500,454861.10000000003,0,4,496,0,500,0,500
2022,6,500,481900.0,0,2,498,0,500,0,500
2022,7,500,661154.42,0,2,498,0,500,0,500
2022,8,500,0.0,0,0,500,0,500,0,500
2022,9,500,152863.2,0,2,498,0,500,0,500
2022,10,500,0.0,0,0,500,0,500,0,500
2022,11,500,0.0,0,0,500,0,500,0,500
2022,12,500,0.0,0,0,500,0,500,0,500
2023,1,500,328450.0,0,1,499,0,500,0,500
2023,2,500,34.8,0,1,499,0,500,0,500
2023,3,500,0.0,0,0,500,0,500,0,500
2023,4,500,371962.8,0,1,499,0,500,0,500
2023,5,500,155820.0,0,1,499,0,500,0,500
2023,6,500,0.0,0,0,500,0,500,0,500
2023,7,500,0.0,0,0,500,0,500,0,500
2023,8,500,155820.0,0,1,499,0,500,0,500
2023,9,500,1328267.13,0,2,498,0,500,0,500
2023,10,500,374936.28,0,2,498,0,500,0,500
2023,11,500,592495.52,0,4,496,0,500,0,500
2023,12,500,45000.0,0,1,499,0,500,0,500
2024,1,500,1924193.41,0,4,496,0,500,0,500
2024,2,500,426300.0,0,3,497,0,500,0,500
2024,3,500,2981239.62,0,3,497,0,500,0,500
2024,4,500,197160.0,0,1,499,0,500,0,500
2024,5,500,0.0,0,0,500,0,500,0,500
2024,6,500,1110705.06,0,3,497,0,500,0,500
2024,7,500,3201363.1300000004,0,2,498,0,500,0,500
2024,8,500,0.0,0,0,500,0,500,0,500
2024,9,500,252506.35,0,2,498,0,500,0,500
2024,10,500,0.0,0,0,500,0,500,0,500
2024,11,500,445760.62,0,4,496,0,500,0,500
2024,12,500,585776.37,0,3,497,0,500,0,500
2025,1,412,0.0,0,0,412,0,412,0,412
2025,2,500,607488.0,0,3,497,0,500,0,500
2025,3,500,442365.62,0,2,498,0,500,0,500
2025,4,500,6200.0,0,1,499,0,500,0,500
2025,5,500,2222422.6,0,1,499,0,500,0,500
2025,6,500,0.0,0,0,500,0,500,0,500
2025,7,500,343430.33,0,2,498,0,500,0,500
2025,8,500,65184.0,0,2,498,0,500,0,500
2025,9,500,71955.0,0,1,499,0,500,0,500
2025,10,500,37200.0,0,1,499,0,500,0,500
2025,11,500,27984.0,0,1,499,0,500,0,500
2025,12,500,0.0,0,0,500,0,500,0,500
2026,1,482,2002600.0,5,1,481,118,364,482,0
2026,2,500,448302.55,15,2,498,211,289,500,0
2026,3,500,202496.0,58,1,499,340,160,500,0
2026,4,500,192014.0,30,2,498,272,228,500,0
2026,5,165,406356.99,0,2,163,0,165,0,165
